"Provincia";"CCAA";"Lat";"Long";"date";"confirmados";"fallecidos";"recuperados"
;"Andalucía";37,46;-4,16;2020-02-27;1;0;
;"Aragón";41;-1;2020-02-27;0;0;
;"Asturias";43,3333;-6;2020-02-27;0;0;
;"Baleares";39,5;3;2020-02-27;1;0;
;"Canarias";28,536;-15,749;2020-02-27;6;0;
;"Cantabria";43,3333;-4;2020-02-27;0;0;
;"Castilla La Mancha";39,5;-3;2020-02-27;0;0;
;"Castilla y León";41,3833;-4,45;2020-02-27;0;0;
;"Cataluña";41,81;1,47;2020-02-27;2;0;
;"Ceuta";35,8866;-5,3;2020-02-27;0;0;
;"C. Valenciana";39,5;-0,75;2020-02-27;2;0;
;"Extremadura";39,2;-6,15;2020-02-27;0;0;
;"Galicia";42,75;-7,8833;2020-02-27;0;0;
;"Madrid";40,4188;-3,6919;2020-02-27;4;0;
;"Melilla";35,2825;-2,9475;2020-02-27;0;0;
;"Murcia";38;-1,83333;2020-02-27;0;0;
;"Navarra";42,8166;-1,65;2020-02-27;0;0;
;"País Vasco";42,9896;-2,6189;2020-02-27;0;0;
;"La Rioja";42,25;-2,5;2020-02-27;0;0;
;"Andalucía";37,46;-4,16;2020-02-28;6;0;
;"Aragón";41;-1;2020-02-28;1;0;
;"Asturias";43,3333;-6;2020-02-28;0;0;
;"Baleares";39,5;3;2020-02-28;1;0;
;"Canarias";28,536;-15,749;2020-02-28;6;0;
;"Cantabria";43,3333;-4;2020-02-28;0;0;
;"Castilla La Mancha";39,5;-3;2020-02-28;0;0;
;"Castilla y León";41,3833;-4,45;2020-02-28;2;0;
;"Cataluña";41,81;1,47;2020-02-28;3;0;
;"Ceuta";35,8866;-5,3;2020-02-28;0;0;
;"C. Valenciana";39,5;-0,75;2020-02-28;8;0;
;"Extremadura";39,2;-6,15;2020-02-28;0;0;
;"Galicia";42,75;-7,8833;2020-02-28;0;0;
;"Madrid";40,4188;-3,6919;2020-02-28;5;0;
;"Melilla";35,2825;-2,9475;2020-02-28;0;0;
;"Murcia";38;-1,83333;2020-02-28;0;0;
;"Navarra";42,8166;-1,65;2020-02-28;0;0;
;"País Vasco";42,9896;-2,6189;2020-02-28;0;0;
;"La Rioja";42,25;-2,5;2020-02-28;0;0;
;"Andalucía";37,46;-4,16;2020-03-02;12;0;
;"Aragón";41;-1;2020-03-02;0;0;
;"Asturias";43,3333;-6;2020-03-02;1;0;
;"Baleares";39,5;3;2020-03-02;2;0;
;"Canarias";28,536;-15,749;2020-03-02;7;0;
;"Cantabria";43,3333;-4;2020-03-02;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-02;3;0;
;"Castilla y León";41,3833;-4,45;2020-03-02;3;0;
;"Cataluña";41,81;1,47;2020-03-02;15;0;
;"Ceuta";35,8866;-5,3;2020-03-02;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-02;15;0;
;"Extremadura";39,2;-6,15;2020-03-02;6;0;
;"Galicia";42,75;-7,8833;2020-03-02;0;0;
;"Madrid";40,4188;-3,6919;2020-03-02;29;0;
;"Melilla";35,2825;-2,9475;2020-03-02;0;0;
;"Murcia";38;-1,83333;2020-03-02;0;0;
;"Navarra";42,8166;-1,65;2020-03-02;1;0;
;"País Vasco";42,9896;-2,6189;2020-03-02;9;0;
;"La Rioja";42,25;-2,5;2020-03-02;1;0;
;"Andalucía";37,46;-4,16;2020-03-03;13;0;
;"Aragón";41;-1;2020-03-03;0;0;
;"Asturias";43,3333;-6;2020-03-03;1;0;
;"Baleares";39,5;3;2020-03-03;2;0;
;"Canarias";28,536;-15,749;2020-03-03;7;0;
;"Cantabria";43,3333;-4;2020-03-03;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-03;7;0;
;"Castilla y León";41,3833;-4,45;2020-03-03;8;0;
;"Cataluña";41,81;1,47;2020-03-03;15;0;
;"Ceuta";35,8866;-5,3;2020-03-03;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-03;15;0;
;"Extremadura";39,2;-6,15;2020-03-03;6;0;
;"Galicia";42,75;-7,8833;2020-03-03;0;0;
;"Madrid";40,4188;-3,6919;2020-03-03;49;0;
;"Melilla";35,2825;-2,9475;2020-03-03;0;0;
;"Murcia";38;-1,83333;2020-03-03;0;0;
;"Navarra";42,8166;-1,65;2020-03-03;1;0;
;"País Vasco";42,9896;-2,6189;2020-03-03;13;0;
;"La Rioja";42,25;-2,5;2020-03-03;3;0;
;"Andalucía";37,46;-4,16;2020-03-04;13;0;
;"Aragón";41;-1;2020-03-04;0;0;
;"Asturias";43,3333;-6;2020-03-04;2;0;
;"Baleares";39,5;3;2020-03-04;5;0;
;"Canarias";28,536;-15,749;2020-03-04;7;0;
;"Cantabria";43,3333;-4;2020-03-04;10;0;
;"Castilla La Mancha";39,5;-3;2020-03-04;12;0;
;"Castilla y León";41,3833;-4,45;2020-03-04;11;0;
;"Cataluña";41,81;1,47;2020-03-04;15;0;
;"Ceuta";35,8866;-5,3;2020-03-04;0;0;
;"C. Valenciana";39,5;-0,75;2020-03-04;19;1;
